,LV ActivePower (kW)
10402,3407.78393554687
48726,641.308471679687
27053,1543.24499511718
16417,1413.26196289062
42895,3566.98706054687
18223,3483.7060546875
27003,1729.55200195312
30544,736.677185058593
4360,2314.63696289062
48729,659.91357421875
30549,612.481201171875
3053,71.7658233642578
37039,3241.11889648437
4182,3601.74194335937
11394,352.448913574218
26801,385.137908935546
41253,2504.61108398437
49088,2054.791015625
33129,143.213806152343
19696,759.404479980468
32949,2609.60498046875
32840,2783.19897460937
30334,3117.61694335937
15296,444.637084960937
24483,1146.80102539062
42537,3602.31494140625
12154,197.061294555664
11677,1022.4990234375
35703,119.731002807617
46854,2740.78491210937
10132,3603.2099609375
34896,1246.63903808593
21139,764.247192382812
5842,1113.24499511718
12561,862.720703125
48207,1051.08801269531
5234,1163.88500976562
2983,1731.53894042968
26394,512.461181640625
19684,448.4541015625
29699,437.118499755859
34379,3343.93798828125
8870,3330.88696289062
44705,170.994598388671
19439,1004.58599853515
39117,3548.13989257812
34542,1896.78796386718
47657,720.439880371093
18734,53.1783103942871
44428,2331.77001953125
33411,343.905395507812
14458,3509.95288085937
577,130.767105102539
13094,22.5761394500732
36844,1922.82897949218
7757,1497.50903320312
27233,467.170989990234
18353,1879.11804199218
31022,2872.69091796875
43692,497.140808105468
26960,1547.55102539062
41193,589.487487792968
18406,394.629486083984
41792,830.403686523437
33860,1518.43701171875
18978,153.629592895507
44086,2094.07006835937
10838,2364.92504882812
14361,2493.15698242187
21433,167.859603881835
38546,3549.11596679687
35718,823.527404785156
35112,226.955093383789
11409,891.929016113281
19808,18.5539398193359
31865,1232.81103515625
21656,12.6152601242065
36845,2033.89599609375
39874,1704.98706054687
8210,3598.49291992187
1214,195.108001708984
4125,3602.32299804687
27191,1087.0830078125
7685,2425.5029296875
21176,3432.9990234375
26999,1242.06799316406
9714,3603.30590820312
33841,678.252807617187
14350,3557.13208007812
2396,3460.06494140625
38527,3566.68505859375
29846,566.363525390625
34453,3208.39892578125
30188,737.014221191406
23191,1585.21203613281
46842,2455.64306640625
31822,400.359710693359
9325,2994.962890625
19914,49.219928741455
21333,541.005615234375
35420,636.055114746093
25432,180.346099853515
33211,535.912292480468
44155,1349.60400390625
43268,467.54019165039
7257,1184.44995117187
20953,621.730407714843
25273,1277.09899902343
40288,499.390502929687
46324,193.233200073242
28726,70.5797729492187
23602,121.359397888183
1161,20.5523796081542
41230,1193.83203125
34006,729.757507324218
5133,826.350524902343
32307,3603.00708007812
31454,2724.416015625
3014,45.1406097412109
21283,790.140319824218
10026,1175.1689453125
30368,3598.89501953125
32888,3604.3349609375
9387,282.022399902343
33519,324.036102294921
12714,347.682312011718
35113,238.549392700195
9931,439.882110595703
44303,1232.34802246093
38485,3103.16088867187
15622,205.296295166015
16873,222.630294799804
15323,374.751708984375
4639,370.071685791015
20319,3535.22998046875
7078,2742.7119140625
23866,1396.8310546875
21797,6.66466188430786
7491,1063.75402832031
1840,372.102813720703
28109,19.82320022583
22103,72.6195068359375
10079,1107.30004882812
48040,1452.28405761718
16242,2738.88598632812
2430,3461.18408203125
38484,3423.18188476562
39559,2343.34399414062
7110,1036.69702148437
32945,3502.85595703125
49474,3600.02099609375
47794,387.544799804687
6059,2417.40502929687
42147,2240.89892578125
41605,2331.65209960937
46471,1171.78894042968
25940,288.046997070312
49621,826.080627441406
34414,1367.73205566406
3932,3602.6708984375
23792,435.040496826171
43344,788.055786132812
35452,1163.36096191406
36796,2275.94189453125
47707,386.404510498046
30689,1024.05395507812
3812,1042.90905761718
19892,408.371307373046
6576,1963.21496582031
30998,3047.88110351562
1224,288.809112548828
11674,2840.2958984375
35365,775.172119140625
20012,1906.03405761718
7292,651.3671875
21854,437.725189208984
16924,142.8125
11749,622.559387207031
24185,1238.03796386718
18093,740.504821777343
12562,838.655212402343
25597,1028.34997558593
40526,219.98680114746
15935,698.11376953125
33847,377.7626953125
40087,1803.09899902343
18128,237.327499389648
9119,251.826293945312
32091,2871.123046875
35744,350.771087646484
23104,228.645904541015
27839,49.9991493225097
43255,1205.27197265625
45916,3597.80688476562
38265,87.1340179443359
17926,845.4453125
43865,387.097198486328
32460,3437.37890625
13322,216.446792602539
25929,299.903198242187
37017,2058.43798828125
37690,3355.791015625
10898,308.804595947265
38511,3602.32788085937
45837,3594.96899414062
12494,316.893096923828
18955,454.457214355468
20490,2458.4951171875
198,2978.31005859375
30371,3603.0
6414,1684.18798828125
21794,31.7403907775878
39557,2183.39599609375
24738,204.995407104492
4553,2252.85205078125
33280,702.678100585937
15977,698.949279785156
9314,3033.03588867187
33073,2699.31494140625
10276,3603.212890625
41228,1090.36499023437
29448,335.066802978515
35232,312.886291503906
39431,1321.3330078125
10600,3602.68188476562
5643,1414.22302246093
31217,3275.52490234375
38379,1694.73999023437
13558,1170.91296386718
8251,3603.43701171875
43260,793.857727050781
40934,849.518127441406
38124,3467.583984375
37897,3601.05590820312
2614,1578.55004882812
44889,3099.77197265625
1238,828.148071289062
45384,3602.6650390625
14171,110.839202880859
20533,1676.248046875
35007,20.4574909210205
15982,486.834503173828
5950,2368.19189453125
18164,1223.79797363281
43611,1897.791015625
8703,3462.01611328125
34709,58.3209114074707
30411,1555.77600097656
9510,177.856201171875
37993,1698.96105957031
18154,114.826698303222
27673,76.2891311645507
40757,382.077209472656
14134,220.32420349121
9628,3452.75903320312
43961,2267.7109375
37848,3600.22802734375
25598,858.947814941406
19011,564.458618164062
44036,1235.52600097656
8401,45.0485496520996
34181,3604.26806640625
32976,2762.85205078125
33515,363.590087890625
21866,989.859313964843
3267,824.304870605468
9749,3603.81396484375
8017,3461.23291015625
7015,1274.97705078125
35389,120.840896606445
42889,3471.31811523437
19173,281.230712890625
30417,1502.11096191406
21090,1559.30297851562
40278,1169.10400390625
4877,3602.86791992187
35975,3110.7509765625
37335,114.173500061035
47567,694.017517089843
42651,2153.462890625
34375,3377.5830078125
34915,556.599609375
950,3281.27490234375
38977,812.643493652343
17606,950.6259765625
14824,442.8125
48979,137.682296752929
22623,3602.94799804687
50106,618.852294921875
33646,1766.7080078125
47797,383.376495361328
28211,15.7810401916503
10720,3599.44091796875
20460,297.342895507812
49199,3501.27490234375
262,2707.74291992187
38906,49.7015800476074
36212,160.333206176757
13541,597.425415039062
21060,461.429901123046
47471,107.995796203613
4939,2440.28491210937
30220,3516.32202148437
14931,2359.88793945312
38190,43.3290901184082
30892,3257.5400390625
38393,3453.5810546875
49363,654.089416503906
11952,2689.23388671875
4105,3602.36010742187
41718,3603.14599609375
9347,649.304626464843
27239,208.424896240234
43407,1075.56103515625
17264,542.430908203125
26393,660.82861328125
20176,3192.53295898437
18225,3335.01806640625
40354,83.9419631958007
9493,805.048889160156
30294,3303.712890625
22172,47.4729118347167
7318,81.0000915527343
41164,2316.98193359375
45394,3602.41796875
36675,2220.42895507812
6184,2212.60498046875
36398,85.6415863037109
23015,1.58960402011871
30872,3240.36596679687
14626,180.419296264648
45476,3601.45288085937
6075,2278.36499023437
35366,656.927673339843
5944,2299.49389648437
24436,2947.09204101562
20225,2283.67211914062
36370,133.094299316406
38570,3588.5419921875
1537,1846.19299316406
6806,504.793701171875
43667,1167.01000976562
8226,3600.69702148437
35058,1590.52600097656
34840,379.768005371093
12700,219.063003540039
45731,915.621887207031
29714,423.117614746093
5322,3569.26293945312
40888,1297.55895996093
24381,2323.89306640625
21041,2209.02587890625
11258,132.517501831054
2979,2494.40307617187
956,3546.32299804687
10302,3603.38793945312
25253,1479.89099121093
109,2228.24291992187
42165,887.813171386718
25726,1036.77905273437
10344,3602.85595703125
34340,3247.6279296875
39823,1548.1259765625
17752,629.185180664062
3823,1647.98596191406
29885,1244.18395996093
7535,3533.2060546875
1088,277.532409667968
46459,480.248809814453
2435,3460.955078125
38177,276.068115234375
30771,2601.38891601562
24566,2105.7919921875
37974,3582.99291992187
38606,454.626586914062
34600,1414.8759765625
48307,1256.47204589843
25248,1639.84301757812
3292,1141.15905761718
49241,3600.77490234375
44146,1301.79602050781
2769,3461.162109375
10330,3603.8330078125
43384,1424.57702636718
31071,3339.94189453125
30814,2249.98291015625
473,1523.79296875
10092,2012.95300292968
40349,322.746185302734
45988,3585.95190429687
45954,3600.38696289062
32187,2619.27587890625
40685,999.098327636718
41292,3565.03491210937
5393,41.4912109375
43247,1485.83898925781
4632,541.37841796875
24478,2744.43188476562
44842,167.042205810546
33232,480.985687255859
24159,1496.73999023437
3010,1263.4599609375
2127,1876.15502929687
18086,57.918659210205
4295,3602.55908203125
14786,798.086669921875
10203,3600.2080078125
26364,1071.80395507812
17840,162.247604370117
11284,174.043304443359
11743,1206.98706054687
50129,561.208312988281
15018,2427.17211914062
17820,75.7464370727539
22574,3595.82592773437
19596,2178.97705078125
19512,1027.83703613281
34364,3077.76391601562
20426,2841.21997070312
37534,35.7672080993652
14894,3603.04711914062
27632,29.8884506225585
40874,1096.85498046875
5210,1718.7900390625
25116,359.153289794921
27354,9.27032089233398
34860,381.569091796875
40154,0.315601199865341
43870,378.24429321289
20482,2058.1220703125
23149,0.153733298182487
6849,332.803985595703
34152,2648.46704101562
41692,3603.8310546875
41996,314.213500976562
20266,2028.57604980468
40870,1103.72497558593
38506,3483.11596679687
2872,3582.24609375
31885,1580.86499023437
37057,1323.87902832031
26893,2033.51098632812
9845,828.237670898437
40,1021.79302978515
2609,1268.76403808593
31464,2624.04809570312
20550,1254.76599121093
43981,2116.98706054687
13324,50.9094009399414
21741,470.782806396484
40176,3035.23095703125
35329,888.739013671875
21015,1348.81298828125
37427,539.865478515625
10693,1633.57897949218
22690,1763.00598144531
44489,480.951385498046
9986,1739.30895996093
49035,732.561706542968
31800,1343.28698730468
23923,429.503295898437
5218,655.342590332031
6628,301.003509521484
49484,3599.85888671875
26741,5.58180093765258
44363,3461.63305664062
31233,3602.51611328125
41892,1054.07604980468
48696,2256.59912109375
840,3057.580078125
27685,334.576110839843
28406,163.932205200195
22688,1895.50695800781
25243,2550.29809570312
31275,3402.6640625
4208,3601.81103515625
20233,1361.65905761718
31236,3584.68188476562
20823,1576.57397460937
24807,342.314208984375
8864,3402.0419921875
17831,72.339256286621
27329,711.283325195312
45306,605.613708496093
31459,3042.49291992187
44341,3463.94995117187
29375,119.544296264648
8304,3602.8310546875
22748,974.60009765625
38089,2895.8349609375
22406,2576.7470703125
2676,3144.14697265625
36429,1325.55004882812
15894,517.515625
18197,2330.36889648437
45812,3598.62890625
42597,2794.82006835937
32718,1114.35900878906
30692,813.176574707031
7505,2524.2470703125
4041,3602.52001953125
44107,1898.18395996093
44017,2922.98095703125
25164,3067.73706054687
38230,793.294921875
26466,82.4103622436523
32664,1130.27099609375
36900,2714.34399414062
5905,266.517791748046
35001,90.9551315307617
32615,2523.287109375
10133,3603.2919921875
33587,1014.81701660156
3265,785.366577148437
8905,3324.61791992187
40976,2073.17211914062
25669,169.684997558593
2993,3372.09301757812
43160,2691.7900390625
16135,2161.2109375
2847,3461.2060546875
2107,1694.58605957031
26474,26.9148406982421
35870,307.679107666015
42701,3270.09912109375
39055,2551.875
1843,367.865203857421
30742,2210.66088867187
16207,3163.412109375
22743,1666.24194335937
44902,2555.95190429687
30180,3548.93603515625
10405,3598.88110351562
44231,1074.55505371093
10455,2452.20190429687
49070,2047.11596679687
35021,0.825000524520874
36374,63.5107383728027
31000,3411.76904296875
49390,982.392211914062
33274,561.490600585937
18889,2137.03198242187
19984,267.046905517578
20179,1704.35803222656
42014,187.287002563476
46332,237.26350402832
41947,435.663604736328
27493,23.2167892456054
6001,2296.17602539062
27549,39.2290000915527
25055,1270.85705566406
26214,629.487487792968
31245,3597.9609375
70,212.566192626953
47454,411.101104736328
16122,1024.51696777343
8275,3582.71899414062
26464,142.806701660156
45583,3390.20288085937
22538,3043.2529296875
38901,13.9711904525756
2543,3593.46899414062
24560,2132.09399414062
38958,597.755981445312
2954,3482.14501953125
32070,1028.35900878906
43962,3212.18798828125
35973,3597.1640625
45597,3478.44995117187
1382,713.2998046875
34576,928.330078125
11379,371.389099121093
18820,1697.51904296875
43147,2115.19091796875
50522,3455.28295898437
38176,210.827102661132
15208,759.090576171875
10261,3602.81103515625
28810,81.7661895751953
33661,1356.27697753906
33255,36.2841987609863
20452,756.572387695312
3833,3577.95288085937
2123,1471.97204589843
24680,681.81787109375
13371,2588.90087890625
871,3476.65893554687
17651,728.801574707031
25374,15.219160079956
37794,3600.32397460937
19213,73.8477020263671
34278,1772.84997558593
38790,451.687103271484
36821,2807.11108398437
11920,3275.93188476562
37614,408.868499755859
3288,861.844116210937
17855,551.39501953125
31956,1024.48400878906
1739,2831.955078125
28128,219.53970336914
19830,11.1680002212524
37365,222.878204345703
47810,380.443603515625
42071,103.210296630859
20070,527.133483886718
27982,528.43701171875
38537,3509.955078125
48190,1826.82495117187
33842,593.642517089843
25011,968.116027832031
34118,1343.06298828125
27163,1885.7490234375
44768,789.828796386718
21875,728.704528808593
40666,193.101593017578
33282,897.453491210937
49336,1792.22998046875
38396,2864.30908203125
1233,1232.54504394531
27747,791.192810058593
39551,1753.30297851562
14578,539.212585449218
6942,15.7114200592041
20183,2336.1240234375
46535,903.650329589843
12530,165.462799072265
9729,3603.79907226562
22620,3603.22705078125
6014,2811.330078125
38186,91.6098480224609
8087,3494.84106445312
18417,240.09260559082
33755,972.78369140625
8953,941.11572265625
35059,1582.21105957031
34349,3289.17309570312
42718,1381.40100097656
21698,185.852096557617
40398,28.7356700897216
2369,3353.36889648437
12346,3602.333984375
25562,2281.38696289062
36713,3310.2099609375
6612,317.771087646484
32471,3581.23291015625
20792,1149.89294433593
39820,1318.76098632812
36555,2766.39794921875
18123,541.655212402343
47396,3195.13305664062
46623,580.445129394531
28166,152.340499877929
47429,3095.73608398437
11963,1500.74499511718
3084,1551.13793945312
6850,255.738998413085
26957,1203.42395019531
10184,3603.791015625
323,1323.68200683593
17793,823.714599609375
27139,2536.00610351562
38564,3580.61303710937
19734,480.358703613281
11760,314.590515136718
8104,3461.998046875
12531,961.088989257812
41519,812.901794433593
46871,3262.01708984375
29612,764.005676269531
38872,351.050598144531
37384,209.70849609375
45403,3601.8779296875
46219,67.1658782958984
32173,1980.66296386718
3254,210.67430114746
5648,2572.97509765625
49495,3599.7880859375
47449,1006.28802490234
23257,378.156494140625
30901,2822.76708984375
47799,389.145599365234
17676,58.4682884216308
38153,2125.17407226562
44789,390.986511230468
46782,3601.51098632812
22596,3603.74291992187
14717,782.303283691406
9930,506.776885986328
824,2888.19409179687
6557,2330.6201171875
34193,3556.44604492187
2097,262.802795410156
46810,3601.32104492187
27436,688.566284179687
41342,3598.962890625
4097,3602.93505859375
44258,2056.34912109375
14915,3604.4619140625
12415,3570.51489257812
25438,201.106506347656
11616,3603.01000976562
42394,2593.70092773437
34837,153.69920349121
43979,2042.20300292968
35052,717.294677734375
10219,3541.55004882812
45915,3600.9169921875
49642,238.497192382812
31930,834.952819824218
49140,3502.73608398437
41453,2025.72094726562
15999,16.9738006591796
45881,3597.69897460937
41380,1084.65600585937
18313,2223.7548828125
35378,461.250610351562
19924,69.006233215332
32476,3489.712890625
26312,590.287292480468
31423,2684.76000976562
5130,309.265991210937
44549,991.919616699218
32080,1562.65600585937
40046,316.667510986328
40000,156.033203125
30667,1361.35302734375
32612,2550.30493164062
33807,2214.81103515625
25975,289.69189453125
11017,1497.55297851562
50479,479.424285888671
2386,3471.95190429687
12583,904.117492675781
34115,1863.77502441406
33403,52.7767105102539
34126,1387.35705566406
25786,909.57080078125
47187,3602.75390625
44298,1204.65197753906
5335,3201.97192382812
9308,3118.97705078125
11063,3602.7939453125
36442,979.651611328125
32802,2631.10595703125
35612,391.304504394531
9115,98.559226989746
33540,242.515304565429
20691,302.359497070312
47403,3430.46411132812
15262,865.732177734375
4827,3560.17407226562
12575,1118.60900878906
7640,1137.52795410156
28804,184.401092529296
34170,3576.33203125
25998,1012.89099121093
37649,2902.0
30664,1940.55895996093
35979,3012.88403320312
37834,3601.77392578125
44126,932.338012695312
47926,1295.09301757812
49597,385.731689453125
33707,3578.2919921875
37163,2087.90087890625
37173,949.485412597656
48220,1527.89404296875
10928,2994.51000976562
47992,1142.2490234375
47296,3516.89697265625
22102,142.527694702148
21309,1136.32800292968
25170,2864.65600585937
5118,58.4743614196777
6114,1034.33996582031
20255,1764.43798828125
25608,522.16357421875
13578,225.619995117187
37119,725.212280273437
18751,1438.0830078125
24291,1550.78796386718
34441,1704.03601074218
42606,3416.91088867187
27279,1049.20202636718
34228,3604.57104492187
23021,805.591186523437
3203,146.92919921875
35077,859.840515136718
10308,3603.89599609375
29727,1190.05798339843
30691,1132.10205078125
3223,349.315185546875
32217,639.047180175781
18098,818.921081542968
22582,3600.087890625
30644,2415.2890625
23190,1950.12805175781
48608,1836.97802734375
10445,524.327880859375
27101,1062.39794921875
19994,596.334228515625
4869,2252.55908203125
47030,505.559112548828
3931,3602.97192382812
10616,3600.794921875
30223,3562.205078125
8737,3462.47509765625
35629,68.6660919189453
49094,3566.32006835937
32829,1445.19897460937
22161,200.530502319335
23562,409.648803710937
31385,3363.19702148437
314,1060.60302734375
35396,0.988267481327056
25038,1673.65405273437
311,1122.71203613281
19990,346.367004394531
17869,204.382995605468
17419,204.412994384765
10980,1976.91101074218
39267,2853.30004882812
32561,2776.67602539062
24917,576.7626953125
10673,895.200378417968
36288,12.9784803390502
26240,660.419921875
44079,1702.8759765625
2104,811.321411132812
48664,3600.63403320312
20854,3218.88500976562
48579,1446.21704101562
8108,3461.43603515625
11883,2866.97998046875
37451,876.856384277343
39631,1477.77001953125
13731,41.978401184082
24976,1470.81604003906
26376,394.25439453125
35098,345.938903808593
36477,3414.94091796875
28901,68.9192581176757
22140,405.590515136718
41055,1511.93505859375
4340,3601.25390625
34415,1567.708984375
2229,2795.666015625
30465,3235.22705078125
23708,2569.85302734375
49386,1130.083984375
20212,1968.63195800781
32345,3603.330078125
43557,910.47900390625
33769,184.933807373046
2990,3123.59399414062
35569,483.040985107421
6465,3476.86499023437
43244,994.9296875
27560,176.130004882812
2490,2877.39599609375
4075,3603.05908203125
27469,164.297302246093
10435,1758.11303710937
27467,39.0243988037109
11044,3597.15087890625
20095,296.938903808593
26549,281.857391357421
23744,2532.36206054687
30666,1166.85595703125
27684,123.924003601074
15259,908.460388183593
9896,1913.81604003906
49410,3131.43896484375
42959,3296.89501953125
29872,1060.83703613281
48327,199.919799804687
44574,1417.04504394531
46831,3600.61694335937
5223,531.949829101562
2259,3410.81909179687
5187,141.850204467773
39235,2354.3759765625
16355,272.979614257812
18328,2667.64697265625
28071,280.113006591796
45315,3023.7900390625
4655,99.766746520996
10762,3567.27807617187
6236,925.008728027343
2143,3603.46899414062
46594,1644.62805175781
34058,2642.35302734375
15242,1566.38403320312
41075,1411.96801757812
7570,2276.01611328125
11095,977.577087402343
31532,2689.3779296875
29566,507.827911376953
30652,1995.52905273437
19803,26.244270324707
20216,2706.4609375
39705,1099.28796386718
32393,2982.81103515625
11922,2711.21899414062
29519,198.319793701171
44514,468.815490722656
18856,94.6747970581054
13408,526.477478027343
10288,3603.412109375
45836,3571.56201171875
44802,150.420196533203
47700,382.698486328125
25477,1260.09094238281
252,3515.61010742187
39846,369.283203125
23044,1531.01293945312
46791,3601.11889648437
2124,1297.35595703125
17140,1530.38195800781
50481,573.746520996093
35568,372.06689453125
17483,432.3369140625
4083,3602.71606445312
20907,1200.69494628906
4172,3602.8310546875
45885,3596.89501953125
26399,587.981323242187
12372,3578.67700195312
43396,1485.70202636718
16566,991.112487792968
25520,1429.73303222656
16044,22.6282806396484
28013,66.2246017456054
8900,1753.46105957031
40686,1101.63903808593
36481,2937.35498046875
41102,337.093200683593
6245,827.939025878906
43479,269.562896728515
30200,3501.39892578125
44662,1112.80895996093
20768,1524.05505371093
32249,755.916076660156
24606,3087.3740234375
39541,2546.71899414062
477,1558.05798339843
49521,3600.32006835937
19330,266.095886230468
42543,3603.26293945312
35451,1010.40899658203
12563,795.866821289062
34855,401.134704589843
44406,3462.18798828125
38863,20.6237506866455
48594,1361.65295410156
44642,2592.54907226562
21096,1490.80505371093
46945,3320.99389648437
19504,2143.2109375
19372,523.310180664062
25137,3165.92211914062
30436,3010.85888671875
11023,1307.76000976562
7736,3585.3310546875
19568,2035.02905273437
10368,3214.02490234375
30122,670.838684082031
144,3377.64990234375
10180,3603.68798828125
37629,2164.03100585937
17693,0.0975329130887985
11771,88.0886077880859
6134,899.086975097656
18647,128.509201049804
47385,2693.56298828125
49490,3599.64599609375
46947,3188.16796875
21995,627.138305664062
44604,1875.92602539062
2118,2175.6298828125
46881,3231.85302734375
45895,3600.31005859375
38480,2203.68408203125
13172,2340.544921875
7335,67.5325012207031
8307,3602.67309570312
35567,362.525604248046
41365,3194.166015625
39276,2485.94702148437
47774,20.5135498046875
